Ticker
MOGA
UMBF
VSAT
GKOS
CYTK
BTSG
EAT
FROG
ONB
PRAX
PTGX
CTRE
IDCC
HQY
COMP
HUT
CRNX
FCFS
KRYS
CMC
ALKS
TWST
AGX
JXN
ESE
SYRE
SM
PCVX
FSS
ZWS
TEX
RHP
FLR
QBTS
TRNO
VLY
PLXS
SLAB
ACA
NPO
TGTX
SNEX
VSXY
TXG
ORA
SSRM
ENS
RIOT
COGT
MAC
HIMS
KYMR
QLYS
SWX
OSCR
EPRT
UBSI
LNTH
HWC
PBF
GBCI
JBTM
LUMN
LQDA
MATX
RYTM
GATX
XENE
ZETA
VSEC
CVLT
LTH
KGS
ESNT
PTCT
ENVA
CORZ
MRCY
APGE
MGY
AUB
FTDR
TXNM
JOBY
MXL
LGND
NOVT
RGTI
DFTX
SIGI
ABCB
MTRN
POR
BCPC
SRRK
AROC
BKH
HOMB
CWST
AIR
ROAD
HRI
CSW
CGON
RIG
GVA
IBP
NE
UEC
KRG
SXT
CIFR
NJR
ACIW
RDNT
TVTX
MMSI
TTAN
PIPR
ORKA
SBRA
BDC
ANF
DNTH
AX
HASI
CAKE
PRM
CNO
PECO
BOOT
UFPI
MYRG
SKY
PI
OII
GTX
HCC
OGS
WHD
RDN
GLNG
CNX
CRSP
MUR
RUSHA
VAL
YOU
OUT
BIPC
VCTR
EBC
VRNS
SR
CNR
MTH
MIRM
SFBS
DIOD
BOX
AXTI
BCO
FFIN
INDV
URBN
LAUR
ITRI
AZZ
CVCO
VSH
ASB
USD
SPHR
ONDS
TPC
CBT
KLIC
TDW
FULT
NSIT
NWE
ICUI
KFY
PSMT
CVSA
FBP
TCBI
FLG
SKT
SKYW
KTB
UNF
ACMR
LIVN
FSLY
ITGR
CATY
CDP
WSFS
AVNT
PJT
ACHR
TENB
XMTR
ATMU
ACLS
IRTC
ABG
FELE
HP
MWA
HAE
INDB
SYNA
IBOC
BMI
CHEF
GFF
BNL
UCB
SLG
CNK
QTWO
KAI
SXI
IRT
DYN
CON
ERAS
RNST
CSTM
OPLN
CRC
GEO
TNGX
ADPT
BGC
KNF
OPCH
PII
PTEN
HNGE
CVBF
WSBC
MHO
INSW
GHC
MRX
ACAD
LMND
LGN
SIG
VCYT
DK
OSIS
CECO
MARA
UCTT
DORM
DNLI
USAR
MC
RELY
MIR
STEP
CENX
CALM
NHI
UUUU
SHOO
OTTR
GNW
RXO
STNG
HNI
LXP
APLE
FFBC
LEU
PARR
WK
AMBA
ASH
BELFB
CELC
MGNI
PLMR
POWI
HIW
NMIH
KBH
FIBK
NIC
NATL
AWR
FUL
AAP
LBRT
SBCF
CBU
PRK
LRN
IMVT
CLDX
SFNC
TDS
DAN
MIAX
REZI
EXPO
TOWN
OPEN
BKD
KN
ASO
AEHR
CXW
RLAY
ATKR
AVA
KNSA
VGNT
WDFC
CWK
CRGY
VAC
BKU
EWTX
DAVE
